"desti_country","any","has_migrated_True","TOTAL","has_phd_True"
"AD",1990,1,1,0
"AD",1991,0,1,0
"AD",1993,1,2,1
"AD",1996,2,2,1
"AD",1997,0,1,1
"AD",2001,1,1,1
"AD",2007,0,1,0
"AD",2009,0,1,1
"AD",2011,1,1,0
"AE",1972,2,2,1
"AE",1973,1,1,1
"AE",1974,4,4,4
"AE",1975,3,3,0
"AE",1976,2,2,2
"AE",1977,3,3,2
"AE",1978,4,4,4
"AE",1979,4,4,3
"AE",1980,4,5,3
"AE",1981,5,6,3
"AE",1982,3,3,2
"AE",1983,9,11,6
"AE",1984,9,9,8
"AE",1985,6,6,4
"AE",1986,8,9,8
"AE",1987,5,6,4
"AE",1988,8,9,7
"AE",1989,9,11,8
"AE",1990,14,15,11
"AE",1991,13,17,9
"AE",1992,15,15,10
"AE",1993,14,15,11
"AE",1994,14,15,10
"AE",1995,7,9,8
"AE",1996,25,26,23
"AE",1997,20,22,17
"AE",1998,13,15,11
"AE",1999,11,13,9
"AE",2000,21,28,19
"AE",2001,15,18,11
"AE",2002,16,24,15
"AE",2003,21,26,23
"AE",2004,17,25,17
"AE",2005,20,30,14
"AE",2006,20,30,17
"AE",2007,14,29,11
"AE",2008,10,29,12
"AE",2009,10,23,9
"AE",2010,4,18,5
"AE",2011,2,27,10
"AE",2012,2,16,3
"AE",2013,8,23,13
"AE",2014,5,23,3
"AE",2015,1,11,2
"AE",2016,0,4,0
"AF",1978,1,1,0
"AF",1982,1,1,1
"AF",1988,1,1,0
"AF",1989,0,1,0
"AF",1991,1,1,0
"AF",1994,1,1,1
"AF",1998,1,1,1
"AF",1999,1,2,0
"AF",2000,0,1,0
"AF",2001,0,1,0
"AF",2003,0,1,0
"AF",2004,0,2,0
"AF",2005,1,3,1
"AF",2008,1,2,0
"AF",2009,0,2,0
"AF",2010,0,1,0
"AF",2011,2,2,0
"AF",2012,0,1,0
"AF",2013,0,2,0
"AF",2014,0,2,0
"AF",2015,0,1,0
"AG",2007,1,1,0
"AG",2008,2,2,1
"AI",1973,0,1,1
"AI",1991,1,1,1
"AL",1977,0,1,1
"AL",1978,0,1,1
"AL",1980,0,2,0
"AL",1983,1,2,1
"AL",1984,0,1,1
"AL",1985,0,1,0
"AL",1986,0,3,1
"AL",1988,2,4,0
"AL",1991,0,2,1
"AL",1992,1,3,1
"AL",1993,2,3,1
"AL",1994,0,3,3
"AL",1995,1,2,1
"AL",1996,1,1,1
"AL",1997,0,2,2
"AL",1998,2,3,3
"AL",1999,0,3,2
"AL",2000,0,6,2
"AL",2001,2,4,3
"AL",2002,2,4,1
"AL",2003,0,1,0
"AL",2004,2,6,1
"AL",2005,2,7,3
"AL",2006,0,1,0
"AL",2007,2,7,2
"AL",2008,0,5,1
"AL",2009,0,10,4
"AL",2010,0,11,4
"AL",2011,1,10,4
"AL",2012,0,7,3
"AL",2013,0,8,2
"AL",2014,0,2,1
"AL",2015,0,3,0
"AL",2016,0,1,0
"AM",1972,0,2,0
"AM",1975,1,4,1
"AM",1976,0,3,1
"AM",1977,0,1,1
"AM",1978,0,2,1
"AM",1979,0,3,1
"AM",1980,0,1,1
"AM",1981,1,4,2
"AM",1982,0,1,0
"AM",1983,0,1,1
"AM",1987,1,1,1
"AM",1989,0,1,0
"AM",1990,1,3,1
"AM",1991,0,3,1
"AM",1992,0,1,0
"AM",1993,1,4,3
"AM",1995,0,7,4
"AM",1996,0,2,1
"AM",1997,0,2,1
"AM",1998,0,2,1
"AM",1999,0,1,0
"AM",2000,0,3,2
"AM",2001,0,4,0
"AM",2002,1,6,3
"AM",2003,0,2,2
"AM",2004,0,3,3
"AM",2005,1,9,5
"AM",2006,0,5,2
"AM",2007,0,6,3
"AM",2008,0,1,1
"AM",2009,0,2,0
"AM",2010,0,2,1
"AM",2011,0,1,0
"AM",2012,0,3,2
"AM",2013,0,2,1
"AM",2015,0,1,0
"AM",2016,0,1,0
"AO",1976,1,2,0
"AO",1983,1,1,0
"AO",1986,1,1,0
"AO",1987,2,2,0
"AO",2000,0,1,1
"AO",2001,0,1,0
"AO",2004,2,4,1
"AO",2005,1,5,0
"AO",2007,0,1,0
"AO",2008,4,6,2
"AO",2009,0,2,1
"AO",2010,0,1,1
"AO",2011,0,1,0
"AO",2012,0,1,0
"AO",2013,0,1,0
