"origen_country","any","has_migrated_True","TOTAL","has_phd_True"
"AD",1972,1,1,1
"AD",1990,1,1,0
"AD",1991,0,1,0
"AD",1993,1,2,1
"AD",1996,2,2,1
"AD",2001,1,1,1
"AD",2007,0,1,0
"AD",2009,0,1,1
"AD",2011,1,1,0
"AE",1980,1,1,1
"AE",1981,0,1,0
"AE",1983,0,2,1
"AE",1985,1,1,1
"AE",1986,1,1,1
"AE",1987,0,1,0
"AE",1988,2,3,2
"AE",1990,1,2,1
"AE",1991,0,1,0
"AE",1992,1,1,1
"AE",1993,2,3,2
"AE",1994,2,2,1
"AE",1995,0,1,1
"AE",1996,2,2,1
"AE",1997,2,2,2
"AE",1998,5,6,4
"AE",1999,2,3,2
"AE",2000,3,6,4
"AE",2001,2,4,2
"AE",2002,3,8,3
"AE",2003,2,2,2
"AE",2004,5,7,2
"AE",2005,5,14,3
"AE",2006,11,15,7
"AE",2007,4,15,4
"AE",2008,4,20,8
"AE",2009,1,13,2
"AE",2010,4,16,6
"AE",2011,0,21,5
"AE",2012,4,16,1
"AE",2013,6,18,10
"AE",2014,5,22,3
"AE",2015,1,11,2
"AE",2016,0,4,0
"AF",1980,1,1,0
"AF",1988,1,1,1
"AF",1989,0,1,0
"AF",1991,1,1,0
"AF",1996,1,1,0
"AF",1998,1,1,1
"AF",2000,0,1,0
"AF",2001,0,1,0
"AF",2002,1,1,1
"AF",2003,0,1,0
"AF",2004,0,2,0
"AF",2005,0,2,0
"AF",2007,1,2,0
"AF",2009,0,2,0
"AF",2010,0,1,0
"AF",2012,0,1,0
"AF",2013,0,2,0
"AF",2014,0,2,0
"AF",2015,0,1,0
"AG",2008,1,1,0
"AI",1973,0,1,1
"AL",1977,0,1,1
"AL",1978,0,1,1
"AL",1980,0,2,0
"AL",1983,1,2,1
"AL",1984,1,2,2
"AL",1985,0,1,0
"AL",1986,1,4,2
"AL",1988,2,4,0
"AL",1991,1,3,2
"AL",1992,1,2,1
"AL",1993,2,3,1
"AL",1994,1,4,4
"AL",1995,1,2,1
"AL",1997,0,2,2
"AL",1998,1,2,2
"AL",1999,1,4,3
"AL",2000,0,6,2
"AL",2001,1,3,2
"AL",2002,0,2,1
"AL",2003,1,3,2
"AL",2004,1,5,1
"AL",2005,2,7,3
"AL",2006,1,2,1
"AL",2007,3,8,3
"AL",2008,0,5,1
"AL",2009,0,12,5
"AL",2010,0,10,3
"AL",2011,1,10,4
"AL",2012,0,6,2
"AL",2013,0,8,2
"AL",2014,0,2,1
"AL",2015,0,3,0
"AL",2016,0,1,0
"AM",1972,0,2,0
"AM",1974,1,1,0
"AM",1975,0,3,0
"AM",1976,1,4,1
"AM",1977,1,2,2
"AM",1978,0,2,1
"AM",1979,1,4,2
"AM",1980,2,3,1
"AM",1981,2,5,3
"AM",1982,0,1,0
"AM",1983,3,4,2
"AM",1985,2,2,2
"AM",1987,2,2,2
"AM",1988,1,1,1
"AM",1989,1,2,0
"AM",1990,4,6,3
"AM",1991,2,5,3
"AM",1992,0,1,0
"AM",1993,3,6,5
"AM",1995,0,7,4
"AM",1996,1,3,2
"AM",1997,2,4,3
"AM",1998,2,4,3
"AM",1999,1,2,0
"AM",2000,1,4,3
"AM",2001,1,5,1
"AM",2002,5,10,7
"AM",2003,1,3,3
"AM",2004,2,7,5
"AM",2005,5,13,7
"AM",2006,1,7,2
"AM",2007,0,6,3
"AM",2008,1,3,2
"AM",2009,1,3,0
"AM",2010,3,5,4
"AM",2012,0,3,2
"AM",2013,0,2,1
"AM",2015,0,1,0
"AM",2016,0,1,0
"AO",1974,1,1,1
"AO",1976,0,1,0
"AO",1978,1,1,1
"AO",1982,1,1,1
"AO",1983,1,1,0
"AO",1986,1,1,0
"AO",1987,1,1,0
"AO",2003,1,1,0
"AO",2004,1,3,1
"AO",2005,1,5,0
"AO",2007,0,1,0
"AO",2008,3,5,2
"AO",2009,0,3,1
"AO",2010,0,1,1
"AO",2011,0,1,0
"AO",2012,0,1,0
"AO",2013,0,1,0
"AO",2014,0,2,0
"AO",2015,1,2,0
"AQ",2010,0,1,1
"AR",1972,2,13,5
"AR",1973,1,22,11
"AR",1974,5,19,4
"AR",1975,12,34,21
"AR",1976,12,20,10
"AR",1977,6,19,6
"AR",1978,11,28,10
"AR",1979,11,29,16
"AR",1980,5,32,17
"AR",1981,8,34,19
"AR",1982,11,44,18
"AR",1983,11,44,23
"AR",1984,13,48,30
"AR",1985,9,42,18
"AR",1986,17,45,25
"AR",1987,16,52,24
"AR",1988,12,47,21
"AR",1989,15,54,30
"AR",1990,14,53,27
"AR",1991,21,50,34
"AR",1992,23,67,41
"AR",1993,16,71,38
"AR",1994,20,75,35
"AR",1995,21,73,38
"AR",1996,21,92,49
"AR",1997,27,93,57
"AR",1998,24,101,57
"AR",1999,22,84,54
